Publication,Date,Title,Body,Summary,,,,,,,,
The New York Times,7/12/2016,Nothing notable in the news,No news articles available,Summary information is not provided,,,,,,,,
The New York Times,7/13/2016,Time Inc Reshuffles in a Digital Reinvention  Obama on Obamacare Flaws An Assessment,As part of a broad revamping of the company Alan Murray will replace Norman Pearlstine who will stay on as vice chairmanDuring a recent meeting at Time Inc headquarters in downtown Manhattan Jeff Karp extolled the virtues of Sports Illustrated Play the company new digital division focused on youth sports  Two Times health reporters discuss the president frank analysis that the health law has weaknesses that need to be addressedPresident Obama has published an essay on Obamacare in The Journal of the American Medical Association While it hit a lot of the Affordable Care Act high points it was also pretty frank that the health law has some weaknesses that need to be fixed Margot SangerKatz and Reed Abelson two New York Times reporters who have been covering Obamacare discuss the policy changes that the president wants,Time Inc Murray Alan Pearlstine Norman Appointments and Executive Changes Ripp Joseph A Magazines  Health Insurance and Managed Care Obama Barack Medicare Patient Protection and Affordable Care Act  Journal of the American Medical Assn,,,,,,,,
The New York Times,7/14/2016,No breaking news to report today,Today there is no publication in this section,No summary available,,,,,,,,
The New York Times,7/15/2016,Behind Volkswagen Settlement Speed and Compromise  Selling a Business Involves More Than Money,It was one of the fastest civil settlements in the history of corporate malfeasance but fraught with pitfalls including clashing egos and culturesIt was one of the fastest civil settlements in the history of corporate malfeasance coming together in six months instead of the years usually required for such complex negotiations But the path to Volkswagen  billion deal last month with American officials and car owners over the company diesel deception was fraught with pitfalls including clashing egos and cultures arguments over mathematical formulas and frayed nerves from late nights and lost weekends  Owners should run businesses as if they could be bought at any moment but not rush the process once a deal is made experts sayTHE first time Chris Ludwig sold his refrigerant reprocessing company he said he acted as if the deal was done long before it was He beefed up inventory added sales staff and generally increased his expenses,Automobiles Fuel Emissions Transportation Volkswagen AG Justice Department Breyer Charles R Automobile Safety Features and Defects Air Pollution Diesel Power  Sullivan Paul Personal Finances Small Business Prices Fares Fees and Rates,,,,,,,,
The New York Times,7/18/2016,With Pokmon Go Nintendo Seeks to Salvage Lost Opportunity,Nearly two decades ago the video game company released a forerunner to today game that foreshadowed much of mobile gaming Then it lost its leadHONG KONG A video game featuring combative little critters called Pokmon hits mobile devices and millions of fans are hooked Players around the world search for rare and valuable Pokmon and connect with each other to do battle,Pokemon Go Video Game Computer and Video Games Mobile Applications Nintendo Co Ltd Niantic Inc,,,,,,,,
The New York Times,7/19/2016,No breaking news to report today,Today there is no publication in this section,Summary information is not provided,,,,,,,,
The New York Times,7/20/2016,Hedge Funds Sue Puerto Rico Governor Claiming Money Grab  How Traders Use FrontRunning to Profit From Client Orders  Technology Is Monitoring the Urban Landscape  Cloud Computing an Idea With Old Roots,In a lawsuit a group of funds that hold the island bonds said Gov Alejandro Garca Padilla was spending public money in violation of a new federal lawA group of hedge funds sued the governor of Puerto Rico on Wednesday saying he had started violating the island hardwon new debtrestructuring law before the ink from President Obama pen was even dry  On Wednesday federal prosecutors charged two HSBC employees with frontrunning But how do traders use this practice to maximize profitsAbout  trillion changes hands daily in the foreign exchange market When banks make trades in currencies on behalf of customers similar to when they trade other securities like stocks or bonds they are supposed to put the client interests ahead of their own But that not how it always works out In a case announced on Wednesday prosecutors say two HSBC employees used information they had gotten about a pending client transaction to trade ahead of it turning a profit for the bank in the process  Much technical change in American cities will involve monitoring which can make life easier but poses troubling questions about privacy and controlSAN FRANCISCO Big City is watching you  Long before tech companies were competing for cloud customers startups were calling themselves application service providers Same thingCloud computing may seem like the new big thing in the technology industry In reality there nothing new about it It has just had different names over the years,Garcia Padilla Alejandro Walsh Mary Williams Government Development Bank for Puerto Rico Suits and Litigation Civil Hedge Funds Credit and Debt Puerto Rico  HSBC Holdings PLC Banking and Financial Institutions Financial Brokers Currency  Urban Areas Infrastructure Public Works Driverless and Semiautonomous Vehicles Drones Pilotless Planes DataMining and Database Marketing  Cloud Computing Computers and the Internet,,,,,,,,
The New York Times,7/21/2016,The Long Final Goodbye of the VCR  Ron Bloom a Top Lazard Banker Leaves for Brookfield Asset Management  Komatsu of Japan to Buy Joy Global for  Billion,Yes there was a company still manufacturing VCRs It has decided it time to stopMany new technologies are born with a bang Virtual reality headsets Renewable rockets And old ones often die with a whimper So it is for the videocassette recorder or VCR  Mr Bloom perhaps best known for his work guiding GM and Chrysler through bankruptcies will help manage Brookfield private equity operationsA senior Lazard banker who previously had helped lead the Obama administration auto task force is leaving the investment bank  The deal reflects the belief by Komatsu a manufacturer of mining equipment that the mining industry slump will ease over the long termHONG KONG A Japanese manufacturer of mining equipment will spend nearly  billion to buy an American equipment maker as they contend with a global mining slump,Bromwich Jonah Engel Video Recordings Downloads and Streaming Funai Electric Co Recording Equipment Ampex Corporation Sony Corporation  Bloom Ron Brookfield Asset Management Lazard LLC Banking and Financial Institutions Appointments and Executive Changes  Joy Global Inc Mines and Mining Japan KOMATSU LTD,,,,,,,,
The New York Times,7/22/2016,Nothing notable in the news,No significant updates to report,No summary available,,,,,,,,
The New York Times,7/25/2016,Shell Oil Workers in North Sea Threaten to Strike  Tech Behemoths Report Their Results,About  maintenance workers say industrywide cuts have been too severeLONDON As energy prices start to rebound a group of oil workers in the North Sea are gearing up for a strike saying the industrywide cuts have been too deep  Apple Facebook Amazon and Alphabet will post quarterly earnings this week reflecting how they are doing in online ads mobile and cloud computingThis week will offer a glimpse into just how dominant some of the world biggest technology companies have become,Royal Dutch Shell Plc Schlumberger Ltd Great Britain Norway Aberdeen Scotland Oil Petroleum and Gasoline Labor and Jobs Organized Labor Strikes North Sea  Company Reports Computers and the Internet Alphabet Inc Amazoncom Inc Apple Inc Calico California Life Company Facebook Inc Google Inc Nest Labs Inc,,,,,,,,
The New York Times,7/26/2016, Billion for Dollar Shave Club Why Every Company Should Worry,The internet mass transportation and globalization allow decentralized companies to be smaller and leaner and have fewer employeesUnilever is paying  billion for Dollar Shave Club a fiveyearold startup that sells razors and other personal products for men Every other company should be afraid very afraid,Dollar Shave Club Unilever NV Mergers Acquisitions and Divestitures Shaving and Shavers ECommerce Startups Corporations,,,,,,,,
The New York Times,7/27/2016,There is no available news today,No significant updates to report,No summary available,,,,,,,,
The New York Times,7/28/2016,No breaking news to report today,No news articles available,No summary available,,,,,,,,
The New York Times,7/29/2016,For Oracle Money Not the Problem It Coping With the Cloud,The business software omnivore is playing catchup in one of the hotter fields of tech Its NetSuite purchase is its latest thrust in that directionREDWOOD SHORES Calif It was not all that difficult for the Silicon Valley software giant Oracle to pay  billion for a company called NetSuite But then writing big checks has rarely been a problem for Oracle which over the last  years has acquired dozens of companies in its quest to find more and more customers,Oracle Corporation Cloud Computing NetSuite Inc Kurian Thomas R  Ellison Lawrence J Mergers Acquisitions and Divestitures Enterprise Computing Data Centers,,,,,,,,
The New York Times,8/1/2016,With Room Service and More Hospitals Borrow From Hotels  McDonald Tweaks Its Recipes Now Real Butter in the McMuffin,Hospitals are offering patients an attention usually reserved for guests at hotels Medically the attention seems to work tooAt the Henry Ford West Bloomfield Hospital outside Detroit patients arrive to uniformed valets and professional greeters WiFi is free and patient meals are served on demand  hours a day Members of the spa staff give inroom massages and other treatments  Taking steps to join the realfood movement McDonald will have buns without highfructose corn syrup and McNuggets without artificial preservativesOAK BROOK Ill McDonald long shied away from talking about how it makes the food on its menu and what is in that food The company is now being open and loud about it,Hospitals Travel and Vacations New YorkPresbyterian Hospital Bangkok Thailand Detroit Mich Singapore  McDonalds Corporation Antibiotics Corn Syrup and Sweeteners Food Andres Mike Chickens Restaurants,,,,,,,,
The New York Times,8/2/2016,Nothing notable in the news,No significant updates to report,Summary information is not provided,,,,,,,,
The New York Times,8/3/2016,No breaking news to report today,No news articles available,No noteworthy summary for today,,,,,,,,
The New York Times,8/4/2016,How a Justice Department Ruling Could Affect Your Favorite Musician,The department after a twoyear investigation decided to keep the complex regulatory environment of music licensing largely intact with the addition of a rule requiring  percent deals This breaks down what that meansThe Justice Department announced on Thursday that it had concluded a twoyear investigation into the complex world of music licensing and decided against making changes to the regulatory agreements that govern Ascap and BMI two large clearinghouses for performing rights that process about  billion in royalty payments each year,Music Royalties Regulation and Deregulation of Industry AMERICAN SOCIETY OF COMPOSERS AUTHORS AND PUBLISHERS Justice Department Broadcast Music Inc Copyrights and Copyright Violations,,,,,,,,
The New York Times,8/5/2016,There is no available news today,Today there is no publication in this section,No summary available,,,,,,,,
The New York Times,8/8/2016,No breaking news to report today,Today there is no publication in this section,Summary information is not provided,,,,,,,,
The New York Times,8/9/2016,Jefferies Free of the Restraints of Bigger Banks Is Emboldened  Facebook Blocks Ad Blockers but It Strives to Make Ads More Relevant  Personalized Traffic Alerts From Google,Jefferies has an appetite for risk and a set of relationships to rival bigger Wall Street firmsWhen the activist investor Carl C Icahn bought  percent of the organic and natural products maker Hain Celestial in  the company chief turned for advice to Mr Icahn own Wall Street banker Richard Handler the chief executive of the investment bank Jefferies  The programs that prevent websites from displaying ads will be rendered useless for those accessing the social network desktop site but not on mobile browsersSAN FRANCISCO Digital ads pop up online so frequently and ubiquitously that many people are using software to block them  Google Maps pulls in data from several places including crowdsourced highway reports from its Waze service to warn you what up the roadQ How does the Google Maps app know there is a car stopped by the side of the highway or a jam up ahead,Handler Richard B Banking and Financial Institutions Jefferies Group Inc  Facebook Inc Online Advertising Social Media Mobile Applications Advertising and Marketing  Maps Biersdorfer J D Mobile Applications Roads and Traffic Google Maps Waze Mobile Google Inc,,,,,,,,
The New York Times,8/10/2016,Think Amazon Drone Delivery Idea Is a Gimmick Think Again,Amazon doesnt reveal much but a little sleuthing suggests that drones may be central to the online retailer longterm strategyAmazon is the most obscure large company in the tech industry,Amazoncom Inc Delivery Services Drones Pilotless Planes Shopping and Retail,,,,,,,,
The New York Times,8/11/2016,Harassment Crisis Builds at Fox News Despite Its Swift Response  Macy to Close  Stores as ERivals and Discounting Hit Legacy Retailers  Morning Agenda Abbott Pushes for Sales at Any Cost,The ouster of Roger Ailes and an internal inquiry have done little to halt a drumbeat of new accusations of misogyny at Fox NewsWhen the anchor Gretchen Carlson filed a bombshell lawsuit accusing the Fox News chairman Roger Ailes of sexual harassment Fox corporate masters moved fast  Macy announcement closely follows that of Walmart which said it would buy Jetcom in what is widely viewed as a way to invigorate its online salesThe great American consumer is very much alive It just that people arent shopping like they used to reluctant to pay full price or even leave the couch cutting deep into the business of many top retailers  Employees of Abbott in India said that managers had pressured them into unethical tactics in an effort to bump up salesA sales job for Abbott in India may be a prized position but the country is also a valuable market for the pharmaceutical company And some employees have had to pay for the lengths that managers are willing to go to to win customers in India where the industry is still fastgrowing and highly competitive It cost one employee his life Ashish Awasthi jumped in front of a train leaving a note saying that he committed suicide because he could not meet sales targets,Fox News Channel AILES ROGER E Sexual Harassment Ethics and Official Misconduct Tantaros Andrea  Carlson Gretchen st Century Fox  Macys Inc Shopping and Retail Shutdowns Institutional Layoffs and Job Reductions Company Reports ECommerce  Valeant Pharmaceuticals International Inc Abbott Laboratories Philidor Rx Services LLC Australia Cheung Kong Limited China Drugs Pharmaceuticals,,,,,,,,
The New York Times,8/12/2016,Daily Report When Employees Want to Cash Out Private Stock,Tech startups often compensate employees with shares But what happens when those companies have little interest in an initial public offeringIt has become common wisdom among tech startups that an initial public offering of shares is something that should occur only after all other options have been exhausted,Startups Initial Public Offerings Airbnb San Francisco Calif,,,,,,,,
The New York Times,8/15/2016,There is no available news today,No significant updates to report,No summary available,,,,,,,,
The New York Times,8/16/2016,There is no available news today,No significant updates to report,Summary information is not provided,,,,,,,,
The New York Times,8/17/2016,Converting Spreadsheets in Apple Numbers to Excel  What Is Breitbart News,Apple spreadsheet program can edit Microsoft Excel files but you need to take an extra step to use those files in Excel againQ My wife and I have used Apple Numbers program to open and edit Microsoft Excel files But how can Excel subsequently be used to open and edit the same file after it been opened in Numbers  The conservative site has played a role in the rise of Sarah Palin the downfall of Anthony Weiner and the political success of Donald TrumpThe Republican presidential nominee Donald J Trump has hired a top executive from Breitbart News Stephen Bannon as his campaign chief executive raising expectations that Mr Trump will adopt the more aggressive style that the site has championed,Software Apple Inc Microsoft Corp  Breitbart News Network LLC Bromwich Jonah Engel Breitbart Andrew Bannon Stephen K Presidential Election of  News and News Media Republican Party Trump Donald J Fields Michelle  Lewandowski Corey  ,,,,,,,,
The New York Times,8/18/2016,There is no available news today,No significant updates to report,Summary information is not provided,,,,,,,,
The New York Times,8/19/2016,No breaking news to report today,Today there is no publication in this section,Summary information is not provided,,,,,,,,
The New York Times,8/22/2016,Morning Agenda Tenants Struggle in WinWin Contracts for Landlords,If you pay rent to a property management company with the aim of eventually owning the place are you a renter or a homeowner Some companies are blurring that lineIf you pay rent to a property management company with the aim of eventually owning the place are you a renter or a homeowner Some companies are blurring that line,Renting and Leasing Real Estate Pfizer Inc Medivation Inc Elder Care Medicare Private Equity,,,,,,,,
The New York Times,8/23/2016,Grad Students Win Right to Unionize in an Ivy League Case,A ruling by the National Labor Relations Board involving students at Columbia opens the door for teaching assistants at private universities to organizePunctuating a string of Obamaera moves to shore up labor rights and expand protections for workers the National Labor Relations Board ruled Tuesday that students who work as teaching and research assistants at private universities have a federally backed right to unionize,Columbia University Graduate Schools and Students Organized Labor National Labor Relations Board Colleges and Universities,,,,,,,,
The New York Times,8/24/2016,Awkward Target for Outrage Over EpiPen A Senator Daughter,Heather Bresch the chief executive of Mylan which raised the price of EpiPens is the daughter of Senator Joe Manchin III of West VirginiaWASHINGTON A bipartisan group of senators pressing on Wednesday for an explanation of the skyrocketing cost of the EpiPen a lifesaving injection device for those with severe allergies found themselves directing their outrage toward an inconvenient target the daughter of Senator Joe Manchin III,Manchin Joe III Drugs Pharmaceuticals Mylan Inc Medical Devices Klobuchar Amy Shkreli Martin  Epinephrine Drug Bresch Heather United States ALLERGIES,,,,,,,,
The New York Times,8/25/2016,Relaxing Privacy Vow WhatsApp Will Share Some Data With Facebook  A Home in Sydney Full of Light With Room to Roam  Put OS X Photos in the RAW Format,The mobile messaging service which Facebook bought in  says it will disclose users phone numbers and analytics dataSAN FRANCISCO When Facebook bought the startup WhatsApp in  Jan Koum one of WhatsApp founders declared that the deal would not affect the digital privacy of his mobile messaging service millions of users  A house in the suburb of Terrey Hills Sydney has grand proportions and plenty of natural light with multiple areas for entertaining and direct access to walking trailsSYDNEY Australia It is only in walking through the doors of a house called Apadana in Terrey Hills a suburb of Sydney Northern Beaches district that a true understanding of its grand proportions is gained  While JPEG images are the default processing format Apple free Photos for OS X program can also handle files in uncompressed RAW formatsQ Can you process RAW images in Apple OS X Photos program,WhatsApp Inc Facebook Inc DataMining and Database Marketing Social Media Privacy Koum Jan Instant Messaging  Sydney Australia Real Estate and Housing Residential  Photography Apple Inc,,,,,,,,
The New York Times,8/26/2016,John Ellenby Visionary Who Helped Create Early Laptop Dies at   Small Cloud Computing Firm Turns to Helping Others Work With Giants,Mr Ellenby founded Grid Systems where the Compass was produced It went on to become a tool for big corporations government spies White House officials and astronautsJohn Ellenby a Britishborn computer engineer who played a critical role in paving the way for the laptop computer died on Aug  in San Francisco He was   Rackspace has become a partner with Amazon and Azure selling services and helping companies transport data and software to themApollo Global Management and Searchlight Capital are making a  billion bet on capitulation,Deaths Obituaries Computers and the Internet Laptop Computers Ellenby John   Computers and the Internet Private Equity Rackspacecom Inc Amazoncom Inc Black Leon D,,,,,,,,
The New York Times,8/29/2016,Nothing notable in the news,No significant updates to report,Summary information is not provided,,,,,,,,
The New York Times,8/31/2016,No breaking news to report today,No news articles available,No summary available,,,,,,,,
The New York Times,9/1/2016,Retiree Awarded  Million in Reported Ponzi Scheme Tied to MetLife  Rising Drug Prices Put Big Pharma Lobbying to the Test,After an eightweek trial a Los Angeles jury awarded the retiree Christine Ramirez punitive and compensatory damagesA Los Angeles jury on Wednesday said MetLife and two of its affiliates should pay  million to a woman who said she was swindled in a reported Ponzi scheme that had links to a MetLife insurance agent  Drug makers have spent  billion lobbying Congress over the last decade which may explain why lawmakers have done little to curb drug pricesDrug makers have been getting their  billion worth in Washington That is how much they have spent lobbying Congress over the last decade It may help explain why no legislative proposal to rein in rising prescription prices has gone anywhere The latest outcry involving Mylan will put that hefty investment in influence to its biggest test,Suits and Litigation Civil Ponzi and Pyramid Schemes Ramirez Christine  MetLife Inc Life Insurance  Drugs Pharmaceuticals Prices Fares Fees and Rates Lobbying and Lobbyists Mylan Inc,,,,,,,,
The New York Times,9/2/2016,Love and Burnout Caregivers Too Need Care  Surf Up and the Ocean Is Nowhere in Sight,The stress of caring for loved ones with Alzheimer and other terminal illnesses can have longlasting consequences Reaching out for support is criticalAFTER Mark Donham wife Chris fell under the spell of earlyonset Alzheimer he doubled down on his marriage vows He quit his job as a wellpaid sales representative in the printing industry and became his wife hour caregiver dressing her doing laundry and scheduling social visits with friends Faith hope and courage became his new mantra  A water park offering artificial waves in the Hill Country of Texas is part of a movement to bring surfing to the landlocked massesAUSTIN Tex What if everybody had an ocean across the USA,Anxiety and Stress Retirement Families and Family Life Alzheimers Disease  Surfing NLand Surf Park Austin Tex Cardwell Diane Austin Tex,,,,,,,,
The New York Times,9/5/2016,Nothing notable in the news,No news articles available,No noteworthy summary for today,,,,,,,,
The New York Times,9/6/2016,The Crumbling Case for a Mexican Border Wall,Even looking at a bestcase scenario Donald Trump immigration proposals arent worth the economic costIs there actually a case for the Wall,Illegal Immigration Porter Eduardo Immigration and Emigration Foreign Workers Labor and Jobs Borjas George J Trump Donald J Presidential Election of  Mexico,,,,,,,,
The New York Times,9/7/2016,Daily Report Highlight of the Apple Hype Wireless Earbuds  Organizing Your Thoughts With NoteTaking Apps,The usual swarm of rumor and speculation points to the end of the iPhone headphone jackIn the last  hours the Apple rumorandnewsmill has been doing all it can to eliminate any last iota of surprise about what the company is planning to unveil this week  Evernote once the leader in the notetaking app category now faces competition from options like Noteshelf LectureNotes and NotebookMANY of us use our phones to jot down notes whether were in a class at an interview or trying to remember a shopping list And many apps are available to help,Headphones and Headsets Smartphones Wireless Communications Apple Inc  Mobile Applications Instant Messaging Data Storage Evernote Corp,,,,,,,,
The New York Times,9/8/2016,Private Equity Tries to Chip Away at DoddFrank With House Bill,The House is expected to pass a bill that will loosen the information that the industry must report to regulators about the nature of its investmentsIn the wake of the  financial crisis private equity suffered a rare setback on Capitol Hill,Law and Legislation DoddFrank Wall Street Reform and Consumer Protection Act  Protess Ben United States Politics and Government House of Representatives Private Equity Regulation and Deregulation of Industry,,,,,,,,
The New York Times,9/9/2016,What Should a Cubs Fan Pay to Realize a Lifelong Dream,For the chance to see their team in the World Series for the first time in  years some fans are prepared to dig deep and others may get creativeSetting a budget for a ticket to see the Chicago Cubs play a World Series game in Wrigley Field is a complex and arguably dangerous exercise But many fans would admit that they are running the numbers in their head a lot these days and their calculations offer plenty of lessons for people who have no interest in baseball,Chicago Cubs World Series Ticket Scalping Prices Fares Fees and Rates Personal Finances Baseball StubHub Wrigley Field Chicago,,,,,,,,
The New York Times,9/16/2016,Deutsche Bank Frailty Could Become Leverage in Justice Dept Talks  Ted Cruz Fights Internet Directory Transfer Techies Say He Just Doesnt Get It,A  billion fine from the Justice Department could all but sink Deutsche Bank which may bolster the bank negotiating positionMarkets are usually unforgiving to lenders with skimpy capital positions But Deutsche Bank frailty could help it bargain with the United States Justice Department over a potential settlement for charges related to its mortgage securities business  Technologists and White House officials say Senator Cruz who wants the government to keep an oversight role does not understand how the web operatesWASHINGTON Senator Ted Cruz who once led a government shutdown in his efforts to defund President Obama health care law has turned his sights on a more obscure target the federal government plan to end its oversight of the internet master directory of website addresses,Deutsche Bank AG Justice Department MortgageBacked Securities Fines Penalties  Cruz Ted Internet Corp for Assigned Names and Numbers Computers and the Internet Domain Names Internet Senate Republican Party Federal Budget US,,,,,,,,
The New York Times,9/19/2016,There is no available news today,No significant updates to report,Summary information is not provided,,,,,,,,
The New York Times,9/20/2016,Daily Report Regulators Catching Up With Driverless Cars  Japan Newest Technology Innovation Priest Delivery,The Transportation Department issued detailed guidelines for safety expectations and the role of state regulations for driverless and semiautonomous carsTechnology is changing so quickly that it is regularly outstripping regulations often forcing federal regulators to play catchup  In a country where disruptive startups are relatively rare a new service available on Amazon ignites a debate over faith and moneySAKAI Japan The stubblehaired Buddhist priest lit incense at a small cupboardlike altar just as members of his order have done for centuries As the priest chanted sutras Yutaka Kai closed his eyes and prayed for his wife who died last year of complications from a knee replacement,Driverless and Semiautonomous Vehicles Regulation and Deregulation of Industry Automobile Safety Features and Defects Transportation Department US Tesla Motors Inc  Buddhism Japan Funerals and Memorials Innovation Religion and Belief Computers and the Internet Startups Entrepreneurship,,,,,,,,
The New York Times,9/21/2016,No breaking news to report today,No significant updates to report,Summary information is not provided,,,,,,,,
The New York Times,9/22/2016,No breaking news to report today,Today there is no publication in this section,No noteworthy summary for today,,,,,,,,
The New York Times,9/23/2016,Nothing notable in the news,Today there is no publication in this section,No noteworthy summary for today,,,,,,,,
The New York Times,9/26/2016,So Now You Want Windows  ,Microsoft ended its free upgrade offer for the operating system in July but there are other ways to get the softwareQ I downloaded the Windows  upgrade to an external drive last spring but didnt install it Will it still work even though the free offer ended in July,Biersdorfer J D Windows Operating System Microsoft Corp Computers and the Internet Software,,,,,,,,
The New York Times,9/27/2016,Golf Great Arnold Palmer Was Also a Pioneering Pitchman,Mr Palmer hawked nearly  products over a halfcentury and created the template for the modern entrepreneurial athleteIn a grainy blackandwhite  television commercial Arnold Palmer steers a Mercury Monterey up to a golf course nodding approvingly at the coupe smooth handling A few years later Mr Palmer was driving up to another course this time in color in a flashy Cadillac El Dorado,Palmer Arnold Golf Advertising and Marketing Athletics and Sports,,,,,,,,
The New York Times,9/28/2016,A HighStakes Bet Turning Google Assistant Into a Star Trek Computer  Morning Agenda Wells Fargo Clawback Standard Chartered Investigated ExAIG Chief Testifies  Virtual Reality Possibilities Lure Video Game Developers,Google is threatened by the decline of web search so it making a bold bet on what comes next an allknowing digital helperGoogle is one of the most valuable companies in the world but its future like that of all tech giants is clouded by a looming threat The search company makes virtually all of its money from ads placed on the World Wide Web But what happens to the cash machine if web search eventually becomes outmoded  Wells Fargo has announced that it will claw back pay worth  million from John G Stumpf the chief executiveFirst DealBook readers asked about legal consequences for Wells Fargo in its scandal over fake accounts The bank received subpoenas shortly afterward  Phil Fish quit video games in  after developing the hit game Fez now he is part of a team that created a game for the coming Sony PlayStation VRPhil Fish an independent video game developer who made the hit game Fez quit the business in  after burning out and becoming fed up with the gaming industry sometimes corrosive culture,Google Inc Artificial Intelligence Pichai Sundar Innovation Mobile Applications Search Engines Computers and the Internet Voice Recognition Systems  Executive Compensation Frauds and Swindling Banking and Financial Institutions Wells Fargo  Company Standard Chartered Bank PLC AMERICAN INTERNATIONAL GROUP INC  Hudson Laura Virtual Reality Computers Computer and Video Games Fish Phil  Superhypercube Video Game Sony Corporation,,,,,,,,
The New York Times,9/29/2016,Nothing notable in the news,No significant updates to report,No noteworthy summary for today,,,,,,,,
The New York Times,9/30/2016,There is no available news today,Today there is no publication in this section,Summary information is not provided,,,,,,,,
The New York Times,10/3/2016,Bass Pro Shops to Acquire Cabela a Rival Outdoor Retailer  Disney Hot Streak Stalls Prompting Rumors That It Looking to Grow,The deal to buy Cabela for  billion in cash will merge two companies known for selling hunting and fishing gear to outdoor sports enthusiastsAcross much of the United States it is not just a credit card it is a Cabela credit card  Robert Iger chief of the mass media company has a history of reinvigorating the company by making deals but despite a string of good decisions shares are dipping and investors are getting antsyLOS ANGELES This is new territory for Robert A Iger,Mergers Acquisitions and Divestitures Bass Pro Shops Inc Cabelas Capital One Financial Corporation  Walt Disney Company Iger Robert A ESPN Twitter Mergers Acquisitions and Divestitures Social Media Television,,,,,,,,
The New York Times,10/4/2016,StudyAbroad Programs Address a Risk Road Fatalities  A Maryland County Tries to Tame a Stretch of Suburban Sprawl,With more American students studying overseas particularly in parts of the world with weak trafficsafety standard parents and educators are on guardEarly on a morning in June Shannon Marie Nuth just shy of her th birthday was returning to Antigua after spending the weekend near Lake Atitln Guatemala The bus she was riding in went out of control flipped several times and crashed  Rockville Pike outside Washington is being remade to emphasize greater density a mix of land uses and pedestrian trafficNORTH BETHESDA Md Congested and derided the Rockville Pike thoroughfare which connects Bethesda and Rockville troubled local residents officials and developers for years,Traffic Accidents and Safety Mohn Tanya Americans Abroad Colleges and Universities International Study and Teaching Travel and Vacations  Real Estate Commercial MixedUse Developments Area Planning and Renewal Montgomery County Md Bethesda Md Rockville Md Roads and Traffic Federal Realty Investment Trust Maryland,,,,,,,,
The New York Times,10/5/2016,There is no available news today,Today there is no publication in this section,No noteworthy summary for today,,,,,,,,
The New York Times,10/6/2016,Nothing notable in the news,Today there is no publication in this section,No noteworthy summary for today,,,,,,,,
The New York Times,10/7/2016,Nothing notable in the news,No significant updates to report,No noteworthy summary for today,,,,,,,,
The New York Times,10/10/2016,There is no available news today,No news articles available,Summary information is not provided,,,,,,,,
The New York Times,10/11/2016,Theranos Sued by Investor Who Accuses It of Securities Fraud  Fiat Chrysler Deal With Union Averts Strike in Canada,Partner Fund Management a San Francisco hedge fund filed the suit on Monday in Delaware according to a letter sent to its investorsTheranos the beleaguered Silicon Valley bloodtesting company is being accused of securities fraud by a major investor who has sued contending myriad deceptions falsehoods and fraudulent conduct  The lastminute settlement with the workers union Unifor mirrors the main points in a contract that workers reached last month with General Motors of CanadaFiat Chrysler Automobiles avoided a strike late Monday night by about  employees at three plants in Canada,Securities and Commodities Violations Securities and Exchange Commission Theranos Inc Holmes Elizabeth  Silicon Valley Calif Partner Fund Management LP Balwani Ramesh Tests Medical Frauds and Swindling  Labor and Jobs Automobiles Strikes Organized Labor Fiat Chrysler Automobiles NV Unifor General Motors Marchionne Sergio Canada Detroit Mich,,,,,,,,
The New York Times,10/12/2016,Toyota and Suzuki Say They Are Considering an Alliance  At Wells Fargo Complaints About Fraudulent Accounts Since ,The Japanese car manufacturers were vague about what might happen but said that they were discussing a wideranging business partnershipTOKYO In a foreshadowing of a possible new alliance in the automobile industry Toyota and Suzuki said on Wednesday that they were discussing a wideranging business partnership  Employees tipped off the bank ethics hotline human resources department and even the chief executive but the problems persistedIn  the year John G Stumpf became president of Wells Fargo Julie Tishkoff then an administrative assistant at the bank wrote to the company human resources department about what she had seen employees opening sham accounts forging customer signatures and sending out unsolicited credit cards,Toyota Motor Corp Japan Mergers Acquisitions and Divestitures Automobiles Suzuki Motor Corp  Wells Fargo  Company Cowley Stacy Frauds and Swindling Stumpf John G Banking and Financial Institutions,,,,,,,,
The New York Times,10/13/2016,No breaking news to report today,No news articles available,Summary information is not provided,,,,,,,,
The New York Times,10/14/2016,A Museum Seal of Approval Can Add to Art Value  Why and When Your Child Should Have a Debit Card  Wells Fargo Problems Go Beyond Sham Accounts Scandal,Art collectors are finding that museum shows can often spur interest in an artist work and raise prices for individual piecesFOR most art lovers museums are a place to indulge a passion or seek solace from the world outside But for art collectors like Jorge Garcia they offer a level of objectivity about an artist work that galleries lack  The cards give minors control over their own cash but allow parents to monitor the spending and offer guidance as neededMANY children learn to save by stashing cash in a piggy bank or jar then graduate to a basic savings deposit account But as teenagers they start to spend more lunch while on a field trip a movie with a friend and may need an account that lets them make purchases with a debit card  The bank has avoided large penalties for creating unauthorized products but its competitors are leaping ahead in investment banking and tradingJPMorgan Chase and Citigroup are hinting at broader woes for Wells Fargo Wall Street helped the two diversified giant banks trounce thirdquarter earnings expectations while Wells Fargo just squeaked by As Timothy J Sloan the new chief executive at Wells contends with the sham accounts fiasco he also will be tested by falling returns,Sullivan Paul Art Museums Personal Finances Renoir Pierre Auguste Stella Frank High Net Worth Individuals Collectors and Collections  Children and Childhood Teenagers and Adolescence Debit Cards Personal Finances Savings Parenting  Banking and Financial Institutions Company Reports Citigroup Inc JPMorgan Chase  Company Wells Fargo  Company Sloan Timothy J,,,,,,,,
